"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-29","0.04","0.0","0.0","51","58","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-30","0.00","0.0","0.0","50","58","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-31","0.00","0.0","0.0","51","65","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-01","0.00","0.0","0.0","54","68","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-02","0.00","0.0","0.0","57","68","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-03","0.00","0.0","0.0","53","58","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-04","0.00","0.0","0.0","49","60","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-05","0.00","0.0","0.0","51","64","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-06","0.00","0.0","0.0","56","71","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-07","0.00","0.0","0.0","62","70","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-08","0.00","0.0","0.0","62","73","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-09","0.00","0.0","0.0","64","79","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-10","0.00","0.0","0.0","69","88","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-11","0.00","0.0","0.0","68","75","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-12","0.00","0.0","0.0","61","69","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-13","0.00","0.0","0.0","56","67","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-14","0.00","0.0","0.0","58","72","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-15","0.00","0.0","0.0","62","78","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-16","0.00","0.0","0.0","64","76","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-17","0.00","0.0","0.0","62","70","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-18","0.00","0.0","0.0","57","66","46"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-19","0.00","0.0","0.0","55","68","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-20","0.00","0.0","0.0","58","74","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-21","0.00","0.0","0.0","64","81","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-22","0.00","0.0","0.0","69","84","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-23","0.00","0.0","0.0","71","83","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-24","0.00","0.0","0.0","69","85","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-25","0.00","0.0","0.0","68","84","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-26","0.00","0.0","0.0","74","91","60"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-27","0.00","0.0","0.0","77","94","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-28","0.00","0.0","0.0","80","97","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-29","0.00","0.0","0.0","80","94","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-30","0.00","0.0","0.0","77","85","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-01","0.00","0.0","0.0","62","69","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-02","0.00","0.0","0.0","58","68","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-03","0.02","0.0","0.0","59","66","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-04","0.33","0.0","0.0","57","65","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-05","0.00","0.0","0.0","59","69","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-06","0.00","0.0","0.0","61","71","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-07","0.00","0.0","0.0","62","76","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-08","0.00","0.0","0.0","64","76","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-09","0.00","0.0","0.0","63","75","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-10","0.00","0.0","0.0","63","76","52"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-11","0.00","0.0","0.0","64","79","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-12","0.00","0.0","0.0","70","86","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-13","0.00","0.0","0.0","77","93","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-14","0.00","0.0","0.0","82","99","67"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-15","0.00","0.0","0.0","83","97","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-16","0.00","0.0","0.0","80","95","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-17","0.00","0.0","0.0","82","97","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-18","0.00","0.0","0.0","82","97","65"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-19","0.00","0.0","0.0","80","94","64"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-20","0.00","0.0","0.0","78","92","63"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-21","0.00","0.0","0.0","78","94","62"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-22","0.00","0.0","0.0","82","97","68"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-23","0.00","0.0","0.0","80","90","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-24","0.00","0.0","0.0","69","82","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-25","0.00","0.0","0.0","68","82","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-26","0.00","0.0","0.0","68","81","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-27","0.00","0.0","0.0","72","86","59"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-28","0.00","0.0","0.0","74","85","61"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-05-29","0.00","0.0","0.0","71","84","61"
